Freq.	Temp.	E'(G')	"E""(G"")"	tanD
Hz	Cel	Pa	Pa	
0.200000003	54.79125595	3713347778	145647004.5	0.039222561
20	55.01038742	3894383843	137247248	0.035242353
10	55.22735596	3871227223	130763240	0.033778239
5	55.46317673	3842450858	130255752.7	0.033899132
1	55.81564713	3767332879	133639953.3	0.035473358
0.200000003	56.62637711	3674184399	146862514.8	0.03997146
20	56.83376694	3860081201	135265114.9	0.03504204
10	57.04053879	3833909414	129997438.7	0.033907279
5	57.26397324	3800927420	128659760.6	0.033849571
1	57.62443542	3727839442	135621069.3	0.036380608
0.200000003	58.44565964	3632259968	154591985	0.042560827
20	58.65366364	3824915235	137240350	0.035880625
10	58.87556076	3798613677	134481071.2	0.035402671
5	59.11535263	3769176780	132742791.2	0.035217978
1	59.47118378	3698420905	137128248.8	0.037077513
0.200000003	60.30073929	3615101136	156712441.9	0.043349393
20	60.51769638	3790973946	141974290.3	0.037450612
10	60.74175262	3768691499	140057720.2	0.037163489
5	60.9759903	3736030383	138564232.2	0.037088625
1	61.34817886	3666823818	142875285.9	0.038964316
0.200000003	62.18236542	3575693656	161474534.6	0.045158941
20	62.3826561	3757472038	142288192	0.037868064
10	62.60084534	3729680005	141821401.2	0.038025085
5	62.82767487	3699151121	141423589.8	0.038231362
1	63.17085648	3626004726	147255632	0.040610988
0.200000003	63.98112869	3537206666	164334531.1	0.046458844
20	64.20265198	3723609612	148111536.8	0.039776333
10	64.43065643	3692783635	146097209	0.039562896
5	64.66390228	3660961642	145113529.4	0.039638091
1	65.03043365	3584815936	152299549.1	0.042484622
0.200000003	65.87611389	3490288181	170673695.5	0.048899598
20	66.08591461	3685350867	148141527.8	0.040197402
10	66.30281067	3654889163	146299166	0.040028345
5	66.53327942	3626189158	145737251.5	0.040190194
1	66.91369629	3549337020	153514602.9	0.043251626
0.200000003	67.76255798	3449217894	173202525.9	0.050215013
20	67.97363281	3647109230	147181462.9	0.040355649
10	68.18286896	3622291889	145946093.3	0.04029109
5	68.4056015	3591554372	146530644.5	0.040798672
1	68.75197601	3510729857	155659078.8	0.044338096
0.200000003	69.61253357	3401009221	178094010.3	0.052365046
20	69.84539032	3614723510	150531708.4	0.041644044
10	70.09082794	3582714999	149738537	0.04179471
5	70.33779907	3548785811	151595359.7	0.042717528
1	70.74337769	3460865262	163036363	0.047108557
0.200000003	71.56906891	3351371828	185677489.4	0.05540343
20	71.7753067	3574160619	153321252.1	0.042897135
10	71.98368835	3545615837	153705072	0.043350741
5	72.20588684	3509197237	155952417.1	0.044441052
1	72.56219482	3420313429	169150855.4	0.049454782
0.200000003	73.40985107	3295151848	195779588.8	0.059414435
20	73.64186859	3534900017	158411251	0.044813503
10	73.88217163	3500102288	159836568.1	0.045666255
5	74.12001801	3461842291	161921766	0.046773292
1	74.5002594	3367310990	177588270.3	0.052738898
0.200000003	75.33563232	3233514288	208328917	0.064428017
20	75.53968048	3481992298	163190073.5	0.046866868
10	75.74158478	3452864386	163500806.6	0.047352225
5	75.97540283	3412900273	167868647.7	0.049186509
1	76.3436203	3305582675	184651548.5	0.055860516
0.200000003	77.19205475	3150903664	222961669.7	0.070761181
20	77.41114044	3427375872	167298061.9	0.048812289
10	77.62133026	3392877741	170184111.5	0.050159223
5	77.8471756	3345546371	176057111	0.052624322
1	78.2129364	3224489231	197647821.2	0.061295856
0.200000003	79.04663849	3051126488	241919076.4	0.079288445
20	79.26419067	3364321484	175522579.6	0.052171763
10	79.47131348	3319184519	179086322.1	0.053954918
5	79.68212128	3270788910	186942315.3	0.057155114
1	80.03836823	3133399753	215415144.8	0.068748057
0.200000003	80.86071777	2933232646	270072853.5	0.092073455
20	81.07305145	3279892621	184939449.3	0.056385826
10	81.29613495	3232953899	190877099	0.059041083
5	81.52657318	3175221536	201302606	0.063397974
1	81.8766861	3019066028	235516748.3	0.078009807
0.200000003	82.70118713	2775319611	305680131.2	0.110142313
20	82.92303467	3204882715	199109831.6	0.062127024
10	83.14040375	3141108959	208952860.8	0.066522002
5	83.37467957	3073882324	223087084.4	0.072575025
1	83.73176575	2877206486	268910583.9	0.093462385
0.200000003	84.55065918	2568876400	356091579.9	0.138617635
20	84.75767517	3053560612	216952967.3	0.071049176
10	84.96316528	2983393917	231912896.1	0.07773459
5	85.19499207	2899322235	253022537.2	0.087269545
1	85.54380035	2659143863	314298118.2	0.118195228
0.200000003	86.35167694	2267108454	413970481.5	0.182598442
20	86.56726837	2919816486	252367220.2	0.086432561
10	86.78837585	2840192029	277737803.9	0.097788386
5	87.02550507	2725300628	305149629.1	0.111969166
1	87.39263916	2416556822	384116499.9	0.158951983
0.200000003	88.22105408	1900917696	487365202	0.256384164
20	88.44158173	2764827654	309366967.4	0.111893758
10	88.66271973	2653091205	341941448	0.128884166
5	88.90042114	2512526649	382248971.7	0.15213728
1	89.27000427	2100637493	474232991.6	0.22575669
0.200000003	90.10639954	1468192130	547147073.3	0.372667223
20	90.31956482	2616156029	396447350	0.151538119
10	90.54345703	2457157684	443515346.8	0.180499345
5	90.77441406	2249897047	489025766	0.21735473
1	91.14369202	1688717250	568315210	0.336536616
0.200000003	91.97272491	941681021.9	536444084.1	0.569666445
20	92.19692993	2326458559	493850722.5	0.212275743
10	92.41990662	2088866614	538930418.5	0.258001357
5	92.65607452	1815823293	580452291.9	0.319663435
1	93.02075195	1161357735	589226519.1	0.507360041
0.200000003	93.85561371	486691681.7	406932421.8	0.836119533
20	94.07920074	1948845548	577053500	0.296100169
10	94.31813049	1655582641	607443277.8	0.366906047
5	94.55767059	1334056190	611916374.3	0.458688587
1	94.9361496	696588660	509759841.2	0.731794655
0.200000003	95.75965881	215989264.4	250130541.5	1.158069372
20	96.21512604	1443417350	610333421.8	0.422839195
10	96.4433136	1128060184	594239819.2	0.526780248
5	96.69420624	824115568.2	543908981.2	0.659991145
1	97.07698059	343005660.1	345421033.1	1.007041812
0.200000003	97.92134857	113763165.1	145590060.7	1.279764533
20	98.25505066	990027705.7	575138299.1	0.580931544
10	98.46913147	723645939.1	514540984.7	0.711039662
5	98.70652008	497654054.3	424294279.8	0.852588832
1	99.06108093	209877588.5	224199360.3	1.068238735
0.200000003	99.88214111	72628814.87	79280485.73	1.091584444
20	100.1038895	664357902.6	499942447.9	0.752519727
10	100.3382187	453149820.9	408205684.4	0.900818348
5	100.5949326	310304669.4	310226510.2	0.999748111
1	101.0025482	116512781.6	135233167.9	1.160672426
0.200000003	101.8558121	48272482.07	43531894.89	0.901795268
20	102.0692825	408558665.7	388522547	0.950959027
10	102.2812195	284038527.6	296523322.9	1.043954611
5	102.5127869	188888407	210916608	1.116620183
1	102.8761292	74184371.22	81686744.1	1.101131439
0.200000003	103.753006	34727624.55	27447110.29	0.790353835
20	103.9796982	272542862.4	288928003.9	1.06011951
10	104.2091599	182543544.3	205989356.1	1.128439546
5	104.4466324	117353417.1	137211337	1.169214725
1	104.8082199	52571552.42	49339390.05	0.938518822
0.200000003	105.6121063	27492419.56	19359685.81	0.704182684
20	105.8246307	183417456.8	209485644.8	1.142124891
10	106.0559387	120996531.5	141071286.5	1.165911794
5	106.3069611	79128841.97	89798319.51	1.134836793
1	106.6874924	39953704.52	31642903.94	0.791989207
0.200000003	107.5267868	28492343.24	15190186.48	0.533132255
20	107.7480621	123501499.5	145738920.5	1.180057883
10	107.9730225	83139978.9	94137929.91	1.132282376
5	108.2004395	60108408.46	59682333.76	0.992911577
1	108.5888901	35830932.51	21126039.98	0.589603424
0.200000003	109.4924164	26774330.05	10368193.22	0.387243807
20	109.7247543	87648536.58	100641764.6	1.148242354
10	109.9564743	62459568.1	63690628.06	1.019709706
5	110.1949539	48219948.87	40268711.37	0.835104823
1	110.5606842	33488854.94	13859515.56	0.413854569
0.200000003	111.3951721	24232394.88	6916232.477	0.285412669
20	111.6207733	67787930.52	71148079.6	1.049568534
10	111.8494568	52225247.33	45662043.48	0.874328911
5	112.0833817	41750688.65	28429088.25	0.680925012
1	112.4333572	31169736.8	10680436.49	0.342654049
0.200000003	113.2283478	27689049.87	7634916.108	0.275737733
20	113.4437561	56585545.02	52230606.6	0.923037946
10	113.6795425	44816221.52	33341941.28	0.743970394
5	113.9338379	38531829.91	20741804.39	0.538303137
1	114.3402863	29998303.57	7859361.46	0.261993527
0.200000003	115.2312546	26825146.91	8467200.534	0.315644145
20	115.4602432	49225414.37	38077355.01	0.773530424
10	115.6954117	38721229.77	23132320.73	0.597406685
5	115.9379807	33794486.33	15014382.01	0.444284976
1	116.3314667	31529482.43	6055589.823	0.192061186
0.200000003	117.2369385	28977761.06	7685446.914	0.265218794
20	117.4606857	41515686.13	28030054.37	0.675167799
10	117.6736298	35893995.17	17959566.11	0.500350177
5	117.8874969	32791684.16	11437855	0.34880352
1	118.2312927	31741326.66	5660058.699	0.178318277
0.200000003	119.0281372	26672001.97	7147545.612	0.267979354
20	119.2376862	40603509.03	22536752.71	0.555044472
10	119.4555664	34432271.6	13605168.01	0.395128399
5	119.6799316	34050120.72	8858461.197	0.260159463
1	120.0459518	31320995.89	4759271.669	0.151951477
0.200000003	120.8211899	27850114.72	5986604.755	0.214957997
20	121.0514145	38329804.48	16729378.17	0.436458737
10	121.2486191	35041122.06	11664993.84	0.332894415
5	121.4865646	32510642.16	7168138.364	0.220485896
1	121.8707886	30535508.07	4220976.326	0.138231739
0.200000003	122.7136459	31059956.6	7137802.602	0.229807243
20	122.9086533	36116769.82	13413509.86	0.371392846
10	123.1275711	33966517.47	9086964.302	0.267527103
5	123.3231964	32841169.36	6504023.327	0.198044822
1	123.6824722	32535075.07	4284866.18	0.131699905
0.200000003	124.4736786	31809836.6	7887778.773	0.247966647
20	124.6842117	37325581	11320667.5	0.303295135
10	124.8907013	36177589.67	8423771.407	0.232845008
5	125.1167603	33207079.45	5579364.905	0.168017328
1	125.464859	31471736.67	3875791.417	0.123151496
0.200000003	126.2582321	29723165.23	7011994.317	0.235910088
20	126.4644165	35691578.55	10089301.93	0.282680184
10	126.6774368	33854487.94	7233271.867	0.213657692
5	126.9069138	34777064.1	5406178.131	0.1554524
1	127.2494125	31455600.19	3934215.243	0.125072017
0.200000003	128.0660858	30027795.83	7172228.716	0.238852978
20	128.2986603	36415125.13	9075566.082	0.249225184
10	128.5275116	35805860.66	6316774.183	0.176417321
5	128.7762451	33701064.28	4761820.498	0.14129585
1	129.1482391	33348079.66	3274391.856	0.098188318
0.200000003	129.9515533	28671823.24	6293124.873	0.219488129
20	130.1627197	34887845.09	7250599.835	0.207825959
10	130.3774261	33570554.41	6192678.158	0.184467554
5	130.6170502	34807371.34	4581205.24	0.131615952
1	131.0107117	32146746.68	3296521.241	0.102546029
0.200000003	131.8570709	30293702.15	7501134.121	0.247613639
20	132.065155	36766219	6699106.403	0.182208195
10	132.269165	35334577.75	5794303.998	0.163983956
5	132.4900513	33960750.71	4580945.264	0.134889394
1	132.8530884	33427210.34	3188556.802	0.095388062
0.200000003	133.7172546	32947898.3	7767461.78	0.235749841
20	133.9440765	35246837.69	6328191.963	0.179539278
10	134.171524	35507524.92	4989122.333	0.140508875
5	134.40271	35545153.88	4272824.13	0.120208345
1	134.7629395	32970424.17	3096706.836	0.093923777
0.200000003	135.5818176	31521133.84	7356623.822	0.233387038
20	135.8126984	36417465.73	5715996.855	0.156957567
10	136.0607605	34907225.16	4609695.086	0.13205561
5	136.3141327	34674677.34	3979493.137	0.114766546
1	136.6840515	32341346.07	3773715.977	0.116683945
0.200000003	137.4619904	30057480.43	6249959.798	0.20793359
20	137.6735077	36165505.24	6701006.514	0.185287237
10	137.9046936	34936000.25	4385352.829	0.125525326
5	138.1511993	34713369.03	3908043.181	0.112580344
1	138.5467224	34413644.57	2941268.76	0.085468099
0.200000003	139.3874664	36346696.69	7749441.084	0.213208959
20	139.5936737	37127105.6	5316970.309	0.143209934
10	139.8048706	36886245.05	3967371.22	0.107556932
5	140.0404358	34919726.86	3777983.586	0.108190529
1	140.4069061	34303831.77	3460225.798	0.100869954
0.200000003	141.2810822	37525288.65	6288401.694	0.167577699
